org_name,line_type,as_of_date,policy_count,premium,fee_amount,fee_rate_avg,line_factor,first_day_part,time_part,earned_premium_cum
乐山,交强险,2026-01-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,2247794.2555616437,2489737.658161644
乐山,交强险,2026-02-28,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,2520935.9572054795,2762879.3598054796
乐山,交强险,2026-03-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,2803901.0181095893,3045844.420709589
乐山,交强险,2026-04-30,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,3052470.7803287674,3294414.182928767
乐山,交强险,2026-05-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,3280248.45830137,3522191.86090137
乐山,交强险,2026-06-30,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,3474533.6669863015,3716477.0695863017
乐山,交强险,2026-07-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,3651429.0101369866,3893372.4127369863
乐山,交强险,2026-08-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,3804341.130438356,4046284.5330383563
乐山,交强险,2026-09-30,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,3924604.019753425,4166547.4223534246
乐山,交强险,2026-10-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,4021713.8963835617,4263657.298983562
乐山,交强险,2026-11-30,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,4088886.029780822,4330829.4323808225
乐山,交强险,2026-12-31,4875,4435898.81,295052.93,0.0665148017657328,0.82,241943.4026,4128966.3694794523,4370909.772079452
乐山,商业保险,2026-01-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,3524743.262109589,5928365.7031095885
乐山,商业保险,2026-02-28,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,3960826.5647945204,6364449.0057945205
乐山,商业保险,2026-03-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,4419403.120767123,6823025.561767123
乐山,商业保险,2026-04-30,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,4825999.893671233,7229622.334671233
乐山,商业保险,2026-05-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,5196203.9751780825,7599826.416178082
乐山,商业保险,2026-06-30,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,5512925.273479452,7916547.714479452
乐山,商业保险,2026-07-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,5800593.454547945,8204215.895547945
乐山,商业保险,2026-08-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,6051289.875917808,8454912.316917809
乐山,商业保险,2026-09-30,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,6246293.040027398,8649915.481027396
乐山,商业保险,2026-10-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,6399158.784712329,8802781.22571233
乐山,商业保险,2026-11-30,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,6504456.860794521,8908079.30179452
乐山,商业保险,2026-12-31,4369,9137601.95,2557045.15,0.2798376602517688,0.94,2403622.4409999996,6563703.461780822,8967325.902780822
天府,交强险,2026-01-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,71688497.09745206,84240409.91245206
天府,交强险,2026-02-28,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,78118468.92534247,90670381.74034247
天府,交强险,2026-03-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,84347986.09605479,96899898.91105479
天府,交强险,2026-04-30,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,89516823.80484931,102068736.61984931
天府,交强险,2026-05-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,94060654.18145205,106612566.99645206
天府,交强险,2026-06-30,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,97782892.94572604,110334805.76072603
天府,交强险,2026-07-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,100915321.59328768,113467234.40828767
天府,交强险,2026-08-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,103418469.68572603,115970382.50072603
天府,交强险,2026-09-30,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,105418313.83257535,117970226.64757535
天府,交强险,2026-10-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,107080106.1710959,119632018.98609589
天府,交强险,2026-11-30,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,108303529.39926028,120855442.21426028
天府,交强险,2026-12-31,179587,124665340.02,15307210.75,0.12278641960583649,0.82,12551912.815,109115422.82438356,121667335.63938357
天府,商业保险,2026-01-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,34008149.822054796,52615972.79105479
天府,商业保险,2026-02-28,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,37630055.614,56237878.583
天府,商业保险,2026-03-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,41242679.24010959,59850502.20910959
天府,商业保险,2026-04-30,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,44357655.43350685,62965478.40250685
天府,商业保险,2026-05-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,47214667.43150685,65822490.40050685
天府,商业保险,2026-06-30,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,49641542.75213698,68249365.72113699
天府,商业保险,2026-07-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,51794205.83926027,70402028.80826028
天府,商业保险,2026-08-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,53625526.9870137,72233349.9560137
天府,商业保险,2026-09-30,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,55114736.422657534,73722559.39165753
天府,商业保险,2026-10-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,56348253.027835615,74956075.99683562
天府,商业保险,2026-11-30,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,57218843.92279452,75826666.89179452
天府,商业保险,2026-12-31,60920,77763500.45,19795556.35,0.25456102458669605,0.94,18607822.969,57783830.50824658,76391653.47724657
宜宾,交强险,2026-01-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,12619236.071232876,13584399.605232876
宜宾,交强险,2026-02-28,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,13901087.096,14866250.63
宜宾,交强险,2026-03-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,15181947.321123287,16147110.855123287
宜宾,交强险,2026-04-30,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,16293118.188356165,17258281.722356163
宜宾,交强险,2026-05-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,17302601.1750137,18267764.709013697
宜宾,交强险,2026-06-30,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,18136674.380958904,19101837.914958905
宜宾,交强险,2026-07-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,18857446.286164384,19822609.820164382
宜宾,交强险,2026-08-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,19443361.223041095,20408524.757041097
宜宾,交强险,2026-09-30,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,19909225.303041097,20874388.837041095
宜宾,交强险,2026-10-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,20293327.605041094,21258491.139041096
宜宾,交强险,2026-11-30,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,20573951.413178083,21539114.94717808
宜宾,交强险,2026-12-31,102380,22012196.49,1177028.7,0.05347166061027652,0.82,965163.534,20763094.615178082,21728258.149178084
宜宾,商业保险,2026-01-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,4934760.230356164,7285714.217556165
宜宾,商业保险,2026-02-28,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,5505207.338767123,7856161.325967123
宜宾,商业保险,2026-03-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,6091966.425890411,8442920.413090412
宜宾,商业保险,2026-04-30,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,6614460.010054794,8965413.997254794
宜宾,商业保险,2026-05-31,8556,11609310.04,2501014.88,0.21543182767819335,0.94,2350953.9872,7109561.898684932,9460515.885884931
